Name,Date,Hashrate,Power,Noise,Algorithm
Bitmain Antminer S19 XP Hyd (255Th),Jan 2023,255Th/s,5310W,,SHA-256
MicroBT Whatsminer M53,Apr 2022,226Th/s,6554W,,SHA-256
Bitmain Antminer S19 Pro+ Hyd (198Th),May 2022,198Th/s,5445W,50db,SHA-256
Bitmain Antminer S19 XP (140Th),Jul 2022,140Th/s,3010W,75db,SHA-256
MicroBT Whatsminer M30S++,Oct 2020,112Th/s,3472W,75db,SHA-256
iPollo B2,Oct 2021,110Th/s,3250W,75db,SHA-256
Bitmain Antminer S19 Pro (110Th),May 2020,110Th/s,3250W,75db,SHA-256
Bitmain Antminer S19j Pro (104Th),Jul 2021,104Th/s,3068W,75db,SHA-256
Bitmain Antminer S19j Pro (100Th),Jun 2021,100Th/s,3050W,75db,SHA-256
MicroBT Whatsminer M30S+,Oct 2020,100Th/s,3400W,75db,SHA-256
Bitmain Antminer S19j Pro (96Th),Aug 2021,96Th/s,2832W,75db,SHA-256
Bitmain Antminer S19 (95Th),May 2020,95Th/s,3250W,75db,SHA-256
Bitmain Antminer S19j (90Th),Jun 2021,90Th/s,3250W,75db,SHA-256
Canaan AvalonMiner 1246,Jan 2021,90Th/s,3420W,75db,SHA-256
Bitmain Antminer T19 (88Th),Aug 2021,88Th/s,3344W,75db,SHA-256
MicroBT Whatsminer M30S,Apr 2020,86Th/s,3268W,72db,SHA-256
iPollo B1,Oct 2021,85Th/s,3400W,75db,SHA-256
Bitmain Antminer T19 (84Th),Jun 2020,84Th/s,3150W,75db,SHA-256
StrongU Hornbill H8 Pro,Jul 2021,84Th/s,3360W,76db,SHA-256
Canaan AvalonMiner 1166 Pro,Aug 2020,81Th/s,3400W,75db,SHA-256
MicroBT Whatsminer M31S+,Dec 2020,80Th/s,3360W,70db,SHA-256
MicroBT Whatsminer M31S,Apr 2020,76Th/s,3220W,75db,SHA-256
StrongU Hornbill H8,Oct 2020,74Th/s,3330W,76db,SHA-256
Bitmain Antminer S17+ (73Th),Dec 2019,73Th/s,2920W,75db,SHA-256
Bitfury Tardis,Nov 2018,80Th/s,6300W,80db,SHA-256
Bolon Miner B11,Aug 2021,70Th/s,3300W,75db,SHA-256
MicroBT Whatsminer M20S,Aug 2019,68Th/s,3360W,75db,SHA-256
Bitmain Antminer S9 (13.5Th),Sep 2017,13.5Th/s,1323W,85db,SHA-256
Antminer T21,Oct 2023,190Th/s,3610W,,SHA256
Whatsminer M66S Immersion,Oct 2023,298Th/s,5513W,,SHA256
Whatsminer M66S Immersion,Oct 2023,270Th/s,4995W,,SHA256
Whatsminer M63S Hydro,Oct 2023,390Th/s,7215W,,SHA256
Whatsminer M63S Hydro,Oct 2023,360Th/s,6660W,,SHA256
Whatsminer M60S,Oct 2023,186Th/s,3441W,,SHA256
Whatsminer M60S,Oct 2023,170Th/s,3145W,,SHA256
Whatsminer M66 Immersion,Oct 2023,289Th/s,5578W,,SHA256
Whatsminer M66 Immersion,Oct 2023,240Th/s,4776W,,SHA256
Whatsminer M63 Hydro,Oct 2023,336Th/s,6720W,,SHA256
Whatsminer M63 Hydro,Oct 2023,334Th/s,6647W,,SHA256
Whatsminer M60,Oct 2023,162Th/s,3110W,,SHA256
Avalonminer A1466,Sep 2023,150Th/s,3225W,,SHA256
Avalonminer A1446,Sep 2023,135Th/s,3308W,,SHA256
Antminer S21,Aug 2023,200Th/s,3500W,,SHA256
Antminer S19j XP,Jun 2023,151Th/s,3246W,,SHA256
Whatsminer M56s++,May 2023,230Th/s,5060W,,SHA256
Whatsminer M53s++,May 2023,320Th/s,7040W,,SHA256
Whatsminer M50s++,May 2023,150Th/s,3300W,,SHA256
Antminer S19k pro,Apr 2023,120Th/s,2760W,,SHA256
Antminer S19j pro+,Dec 2022,122Th/s,3355W,,SHA256
Whatsminer M50s+,Dec 2022,136Th/s,3264W,,SHA256
Avalon A1366,Oct 2022,130Th/s,3250W,,SHA256
Avalon A1346,Oct 2022,110Th/s,3300W,,SHA256
Antminer Ka3,Sep 2022,166Th/s,3154W,,SHA256
Antminer T19 Hydro,Jun 2022,145Th/s,5438W,,SHA256
Whatsminer M50s,Apr 2022,126Th/s,3276W,,SHA256
Whatsminer M53,Apr 2022,226Th/s,6554W,,SHA256
Whatsminer M50,Apr 2022,114Th/s,3306W,,SHA256
Avalonminer 1266,Apr 2022,100Th/s,3500W,,SHA256
Antminer S19 xp hydro,Mar 2022,255Th/s,5304W,,SHA256
Blockscale Bzm2,Feb 2022,135Th/s,3510W,,SHA256
Antminer S19 pro hydro,Jan 2022,198Th/s,5445W,,SHA256
Antminer S19 XP,Nov 2021,140Th/s,3010W,,SHA256
Antminer S19a pro,Nov 2021,104Th/s,3255W,,SHA256
Antminer S19j pro,Aug 2021,92Th/s,2714W,,SHA256
Antminer S19j pro,Aug 2021,104Th/s,3068W,,SHA256
Antminer S19j pro,Aug 2021,96Th/s,2832W,,SHA256
Antminer S19j pro,Jun 2021,100Th/s,3050W,,SHA256
Antminer S19j,Jun 2021,90Th/s,3249W,,SHA256
Antminer S23 Immersion,May 2025,368Th/s,4048W,,SHA256
Antminer S23,May 2025,318Th/s,3498W,,SHA256
Antminer S23 Hydro,May 2025,580Th/s,5510W,,SHA256
Antminer S21e Hydro,Apr 2025,288Th/s,4896W,,SHA256
Teraflux AH3880,Mar 2025,450Th/s,6525W,,SHA256
SEALMINER A2 Pro Hyd,Mar 2025,500Th/s,7450W,,SHA256
SEALMINER A2 Pro Air,Mar 2025,255Th/s,3790W,,SHA256
Antminer S21+,Mar 2025,225Th/s,3750W,,SHA256
Antminer S21+,Mar 2025,235Th/s,3850W,,SHA256
Avalon Q,Feb 2025,90Th/s,1674W,,SHA256
Antminer S21+ Hydro,Feb 2025,319Th/s,4785W,,SHA256
Antminer S21+,Feb 2025,216Th/s,3564W,,SHA256
Avalonminer A15SE,Jan 2025,185Th/s,3681W,,SHA256
Avalonminer A15,Jan 2025,203Th/s,3816W,,SHA256
Avalonminer A15XP,Jan 2025,212Th/s,3773W,,SHA256
Avalonminer A15Pro,Jan 2025,215Th/s,3612W,,SHA256
Whatsminer M65S++,Dec 2024,440Th/s,7480W,,SHA256
Whatsminer M61S+,Dec 2024,236Th/s,4012W,,SHA256
Whatsminer M64S+,Dec 2024,236Th/s,4012W,,SHA256
Sealminer A2Hyd,Nov 2024,446Th/s,7359W,,SHA256
Sealminer A2,Nov 2024,226Th/s,3729W,,SHA256
Antminer U3S19XPH,Sep 2024,514Th/s,10599W,,SHA256
Antminer U3S21EXPH,Sep 2024,860Th/s,11180W,,SHA256
Whatsminer M66S+,Aug 2024,318Th/s,5406W,,SHA256
Antminer S21 Immersion,Jul 2024,215Th/s,3440W,,SHA256
Antminer S21 XP Immersion,Jun 2024,300Th/s,4050W,,SHA256
Antminer S21 XP Hydro,Jun 2024,473Th/s,5676W,,SHA256
Antminer S21 XP,Jun 2024,270Th/s,3645W,,SHA256
Antminer S19e XP Hydro,May 2024,251Th/s,5522W,,SHA256
Whatsminer M66S++,May 2024,356Th/s,5518W,,SHA256
Whatsminer M63S++,May 2024,478Th/s,7409W,,SHA256
Whatsminer M60S++,May 2024,226Th/s,3503W,,SHA256
Antminer S21 Pro,Mar 2024,234Th/s,3510W,,SHA256
Teraflux AT2880,Nov 2023,180Th/s,2880W,,SHA256
Antminer S23e U2H,Jan 2026,865Th/s,8650W,,
Whatsminer M79S,Dec 2025,930Th/s,12555W,,
Whatsminer M79,Dec 2025,870Th/s,12615W,,
Whatsminer M78S,Dec 2025,472Th/s,7000W,,
Whatsminer M78,Dec 2025,440Th/s,7000W,,
Whatsminer M76S+,Dec 2025,390Th/s,5200W,,
Whatsminer M76S,Dec 2025,362Th/s,5200W,,
Whatsminer M76,Dec 2025,336Th/s,5200W,,
Whatsminer M73S+,Dec 2025,540Th/s,7200W,,
Whatsminer M73S,Dec 2025,500Th/s,7200W,,
Whatsminer M73,Dec 2025,470Th/s,7200W,,
Whatsminer M72S,Dec 2025,264Th/s,4000W,,
Whatsminer M72,Dec 2025,246Th/s,4000W,,
Whatsminer M70S+,Dec 2025,244Th/s,3140W,,
Whatsminer M70,Dec 2025,214Th/s,3103W,,
Whatsminer M70S,Dec 2025,226Th/s,3140W,,
Antminer U3S23H,Dec 2025,1160Th/s,11020W,,
Avalon A1566HA,Nov 2025,480Th/s,8064W,,
Avalon A16,Oct 2025,282Th/s,3900W,,
Avalon A16XP,Oct 2025,300Th/s,3850W,,
